exercise_id,exercise_unique_name,alternative_type,alternative_exercise_id,alternative_exercise_unique_name
5fa2b2bd5ed0de000845aa97,RUSSIAN TWISTS,SCALE_DOWN,5fbbaaab0dd22200086aec9e,ALTERNATING LEG RAISES
5fa2b2bd5ed0de000845aa97,RUSSIAN TWISTS,SCALE_UP,5fa2b2fc5ed0de000845ab39,BICYCLE CRUNCHES
5fa2b2bd5ed0de000845aa98,CAT CAMEL,SCALE_UP,5fa2b2be5ed0de000845aa99,
5fa2b2bf5ed0de000845aa9b,SIDE PLANK HOLD,SAME_LEVEL,5fe1cf2249bd260008b45a81,LOW PLANK LEG LIFTS
5fa2b2bf5ed0de000845aa9b,SIDE PLANK HOLD,SCALE_DOWN,5fbbaabb0dd22200086aece3,SIDE PLANK KNEES DOWN
5fa2b2bf5ed0de000845aa9b,SIDE PLANK HOLD,SCALE_UP,5fbbaab80dd22200086aecd6,SIDE PLANK REACHTHROUGH
5fa2b2bf5ed0de000845aa9c,DELTOID CIRCLES,SCALE_UP,5fa2b2ff5ed0de000845ab3e,PRONE SWIMMERS
5fa2b2c15ed0de000845aaa0,DONKEY KICKS,SAME_LEVEL,5fa2b2ca5ed0de000845aab9,GLUTE BRIDGES
5fa2b2c15ed0de000845aaa0,DONKEY KICKS,SCALE_DOWN,5fa2b2ca5ed0de000845aab9,GLUTE BRIDGES
5fa2b2c15ed0de000845aaa0,DONKEY KICKS,SCALE_DOWN,5fa2b2cc5ed0de000845aaba,GLUTE BRIDGE HOLD
5fa2b2c15ed0de000845aaa0,DONKEY KICKS,SCALE_UP,5fa96baffbc7f9000848febb,BIRD DOG
5fa2b2c25ed0de000845aaa3,STAR SIDE PLANK HOLD,SCALE_DOWN,5fbbaabb0dd22200086aece3,SIDE PLANK KNEES DOWN
5fa2b2c65ed0de000845aab0,DUMBBELL SINGLE ARM TRICEPS KICKBACK,SAME_LEVEL,5fa2b2dd5ed0de000845aae6,STANDING TRICEP PUSHDOWNS
5fa2b2c65ed0de000845aab0,DUMBBELL SINGLE ARM TRICEPS KICKBACK,SCALE_UP,5fbbaadf0dd22200086aed91,
5fa2b2c75ed0de000845aab3,FIRE HYDRANTS,SAME_LEVEL,5fa96baffbc7f9000848febb,BIRD DOG
5fa2b2c75ed0de000845aab3,FIRE HYDRANTS,SCALE_DOWN,5fa2b2c15ed0de000845aaa0,DONKEY KICKS
5fa2b2c85ed0de000845aab6,FOOTFIRES,SAME_LEVEL,5fa2b2d75ed0de000845aacf,JUMPING JACKS
5fa2b2c85ed0de000845aab6,FOOTFIRES,SCALE_UP,5fa2b2d25ed0de000845aac5,HIGH KNEES
5fa2b2ca5ed0de000845aab9,GLUTE BRIDGES,SCALE_UP,5fa2b2ee5ed0de000845ab14,SINGLE LEG BRIDGES
