exerciseId,uniqueName
5fbbaaae0dd22200086aeca9,STANDING SINGLE ARM SIDE LATERAL RAISES
5fbbaab60dd22200086aeccf,DUMBBELLS DOUBLE ARM OVERHEAD PRESSES
5fbbaab70dd22200086aecd1,DUMBBELLS DOUBLE ARM BENCH PRESS
5fbbaab80dd22200086aecd4,DUMBBELLS DOUBLE ARM BENT OVER ROWS
5fbbaab80dd22200086aecd6,SIDE PLANK REACHTHROUGH
5fbbaabb0dd22200086aece3,SIDE PLANK KNEES DOWN
5fbbaabc0dd22200086aece9,DUMBBELL GOBLET CURTSY LUNGE
5fbbaabd0dd22200086aeced,DUMBBELL GOBLET LATERAL LUNGE
5fbbaabf0dd22200086aecf3,DUMBBELL GOBLET SQUAT
5fbbaac50dd22200086aed0e,DUMBBELLS DOUBLE ARM SHRUGS
5fbbaaca0dd22200086aed25,SINGLE ARM DUMBBELL SKULLCRUSHER
5fbbaacb0dd22200086aed29,DUMBBELL SINGLE ARM TRICEPS EXTENSION
5fbbaacb0dd22200086aed2b,BENCH SEATED BARBELL OVERHEAD PRESS
5fbbaacc0dd22200086aed31,DUMBBELLS SEATED OVERHEAD PRESSES
5fbbaad10dd22200086aed4a,DUMBBELL INCLINE BENCH PRESS
5fbbaadf0dd22200086aed91,BENCH BARBELL SKULL CRUSHERS
5fbbaae00dd22200086aed93,LUNGE WITH STEP UPS
5fbbaae10dd22200086aed99,BENCH TRICEPS DIPS
5fbbaae30dd22200086aeda1,CABLE TRICEP EXTENSION
5fbbaae70dd22200086aedb1,DUMBBELLS DOUBLE ARM TRICEPS KICK BACKS
5fbbaae80dd22200086aedb7,SEATED BACK ROWS
5fbbaaea0dd22200086aedbd,DUMBBELLS ALTERNATING OVERHEAD PRESS
5fbbaaed0dd22200086aedcb,TRICEP EXTENSION
5fbbaaef0dd22200086aedd5,DUMBBELLS SEATED ALTERNATING OVERHEAD PRESS
5fbbaafb0dd22200086aee03,SINGLE LEG V SIT UPS
5fbbaafc0dd22200086aee06,OVERHEAD BUTTERFLY SIT UPS
5fbbaafe0dd22200086aee0c,KNEE PUSHUPS
5fbbaaff0dd22200086aee0f,ARMS ONLY RENEGADE ROWS
5fbbab0c0dd22200086aee32,PLANK WALKOUT
5fbbab0d0dd22200086aee35,WEIGHTED SIT UPS
5fbbab0d0dd22200086aee37,DUMBBELL SITUPS
5fc74a667fdbe600083487f5,HIGH PLANK TO SUPERMAN
5fcf68df3556430008d347ea,BENCH SEATED DUMBBELLS BICEPS CURL
5fcf68dfeb092800089e43b0,DUMBBELL SINGLE ARM BICEP CURLS
5fcf68e07185df00085591bd,BENCH SEATED DUMBBELLS ALTERNATING HAMMER CURL
5fcf68e0785ab9000895cfa6,DIPS
5fcf68e0e285f00008bc1dda,BENCH SEATED DUMBBELLS HAMMER CURL
5fcf68e1eb092800089e43b2,DUMBBELLS DOUBLE ARM INCLINED CHEST FLYS
5fcf70521d9ab90008cf69dd,LATERAL SQUAT WALK
5fe1cefbc1dab40008a2643c,DUMBBELL DOUBLE ARM SIDE LATERAL RAISES
5fe1cefd053901000829e2a8,DUMBBELL SINGLE ARM RENEGADE ROW
5fe1cf143e59ac0008e96ebd,MACHINE LEG CURLS
5fe1cf18053901000829e2ae,PIKE PUSH UPS
5fe1cf1c34944e0008c465b8,SQUAT IN AND OUT
5fe1cf1f5d5d0e0008ea52e2,PLANK
5fe1cf2249bd260008b45a81,LOW PLANK LEG LIFTS
5fe1cf24c1dab40008a2643e,KNEE TUCK HOLLOW HOLD
5fe430a88d8324000831e63e,PULSE SUMO SQUAT
5fe435768d8324000831e63f,SKATER LUNGES
5fe435788e933e00085860ef,DUMBBELLS DOUBLE ARM CHEST FLYS
60261ecdd9b6b7000876c28e,TREADMILL
60261f939446930008259579,CYCLE
602621587d678600085608e2,CROSS TRAINER
604b53bb148bfd0008fccdee,MACHINE LEG EXTENSION
